access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
2020-09-07,Course: SSK3100-1: PENGATURCARAAN KOMPUTER I (COMPUTER PROGRAMMING I),System,Course viewed,The user with id '30348' viewed the course with id '3078'.,web,535120,SSE4356
2020-09-07,Course: SKR3306-1: PENGATURCARAAN C++ (C++ PROGRAMMING),System,User graded,The user with id '4162' updated the grade with id '748695' for the user with id '4162' for the grade item with id '27184'.,web,914019,SSK3102
2020-09-07,Course: SSK3101-6: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '13691' viewed the course with id '3088'.,web,304220,SSK4505
2020-09-07,Course: SKR3306-1: PENGATURCARAAN C++ (C++ PROGRAMMING),System,Course viewed,The user with id '4162' viewed the course with id '3022'.,web,914019,SKR4307
2020-09-07,Course: SSK3101-8: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '12673' viewed the course with id '3091'.,web,013820,SKM4212
2020-09-07,Course: SSK4617-2: AGEN KOMPUTERAN (COMPUTING AGENTS),System,Course viewed,The user with id '29468' viewed the course with id '4339'.,web,538018,SSK4602
2020-09-07,Course: SSK4617-2: AGEN KOMPUTERAN (COMPUTING AGENTS),System,Course viewed,The user with id '4140' viewed the course with id '4339'.,web,501919,SSE3150
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '13535' viewed the course with id '3115'.,web,861419,SSK3118
2020-09-07,Course: SSK4617-2: AGEN KOMPUTERAN (COMPUTING AGENTS),System,Course viewed,The user with id '4140' viewed the course with id '4339'.,web,501919,SSE4306
2020-09-07,Course: SKR3200-2: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '30348' viewed the course with id '3011'.,web,535120,SSK3100
2020-09-07,Course: SSK3100-1: PENGATURCARAAN KOMPUTER I (COMPUTER PROGRAMMING I),System,Course viewed,The user with id '30348' viewed the course with id '3078'.,web,535120,SSK4407
2020-09-07,Course: SSK3101-8: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '12673' viewed the course with id '3091'.,web,013820,SKR3307
2020-09-07,Course: SKR3308-1: PENGATURCARAAN SELARI DAN TERAGIH (PARALLEL AND DISTRIBUTED PROGRAMMING),System,Course viewed,The user with id '20014' viewed the course with id '3024'.,web,733519,SSE3150
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '13916' viewed the course with id '3115'.,web,744219,SSE3151
2020-09-07,Course: SSK4407-2: ANALITIK BISNES (BUSINESS ANALYTICS),System,Course viewed,The user with id '13916' viewed the course with id '3115'.,web,744219,SKR3308
2020-09-07,Course: SSK3100-2: PENGATURCARAAN KOMPUTER I(COMPUTER PROGRAMMING I),System,Course viewed,The user with id '30398' viewed the course with id '4061'.,web,774720,SIM4208
2020-09-07,Course: SKR3200-5: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '7305' viewed the course with id '3014'.,web,845020,SSE4351
2020-09-07,Course: SSK3101-13: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '17907' viewed the course with id '3083'.,web,568819,SSK4507
2020-09-07,Course: SKR3200-5: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '7305' viewed the course with id '3014'.,web,454820,SSE3305
2020-09-07,Course: SKR3200-2: KOMUNIKASI DAN RANGKAIAN KOMPUTER (COMMUNICATION AND COMPUTER NETWORKS),System,Course viewed,The user with id '30039' viewed the course with id '3011'.,web,114720,SSE4351
