access_date,Event_context,Component,Event_name,Description,Origin,matrik,KOD KURSUS
9/7/2020,Folder: Tableau Exercises,Folder,Course module viewed,The user with id '4070' viewed the 'folder' activity with course module id '95016'.,web,754219,SSK4507
9/7/2020,Assignment: Lab Asg 6 - File Management (All questions),Assignment,Course module viewed,The user with id '13691' viewed the 'assign' activity with course module id '69141'.,web,304220,SSK3003
9/7/2020,Attendance: Attendance,Attendance,Session report viewed,User with id 30348 viewed attendance sessions for student with id 30348,web,535120,SKR4202
9/7/2020,Folder: Tableau Exercises,Folder,Zip archive of folder downloaded,The user with id '4070' downloaded a zip archive containing all the files from the folder activity with course module id '95016'.,web,754219,SSK3003
9/7/2020,Attendance: Lab Attendance - Week 13,Attendance,Session report viewed,User with id 4162 viewed attendance sessions for student with id 4162,web,914019,SSK3003
9/7/2020,Assignment: Lab Asg 6 - File Management (All questions),Assignment,Course module viewed,The user with id '13691' viewed the 'assign' activity with course module id '69141'.,web,304220,SIM3251
9/7/2020,Assignment: Lab Asg 6 - File Management (All questions),Assignment,The status of the submission has been viewed.,The user with id '13691' has viewed the submission status page for the assignment with course module id '69141'.,web,304220,SSK3313
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 30348 viewed attendance sessions for student with id 30348,web,535120,SSE4301
9/7/2020,Folder: Tableau Exercises,Folder,Course module viewed,The user with id '13535' viewed the 'folder' activity with course module id '95016'.,web,861419,SSE4356
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 30348 took attendance with instanceid 606,web,535120,SKM3203
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 30348 viewed attendance sessions for student with id 30348,web,535120,SSK3101
9/7/2020,Assignment: Lab06 : Method,Assignment,Submission form viewed.,The user with id '30398' viewed their submission for the assignment with course module id '67791'.,web,774720,SSE3151
9/7/2020,Assignment: Individual Assignment - Part 2,Assignment,Course module viewed,The user with id '13916' viewed the 'assign' activity with course module id '45309'.,web,744219,SIM4208
9/7/2020,Attendance: Attendance SSK3101 Group 8- Class and Lab ,Attendance,Session report viewed,User with id 12673 viewed attendance sessions for student with id 12673,web,13820,SSK3003
9/7/2020,Assignment: Lab06 : Method,Assignment,A submission has been submitted.,The user with id '30398' has submitted the submission with id '243286' for the assignment with course module id '67791'.,web,774720,SSK4617
9/7/2020,Assignment: Lab 2 SKR 3308 ,Assignment,Course module viewed,The user with id '20014' viewed the 'assign' activity with course module id '56691'.,web,733519,SSK3003
9/7/2020,Assignment: Lab06 : Method,Assignment,The status of the submission has been viewed.,The user with id '30398' has viewed the submission status page for the assignment with course module id '67791'.,web,774720,SSK3408
9/7/2020,Assignment: Individual Assignment - Part 2,Assignment,The status of the submission has been viewed.,The user with id '13916' has viewed the submission status page for the assignment with course module id '45309'.,web,744219,SSE4306
9/7/2020,Assignment: Lab06 : Method,Assignment,Course module viewed,The user with id '30398' viewed the 'assign' activity with course module id '67791'.,web,774720,SSK3101
9/7/2020,Assignment: Lab06 : Method,Assignment,Course module viewed,The user with id '30398' viewed the 'assign' activity with course module id '67791'.,web,774720,SSE4351
9/7/2020,Assignment: Lab06 : Method,Assignment,Course module viewed,The user with id '30398' viewed the 'assign' activity with course module id '67791'.,web,774720,SKR3308
9/7/2020,Assignment: Lab 2 SKR 3308 ,Assignment,The status of the submission has been viewed.,The user with id '20014' has viewed the submission status page for the assignment with course module id '56691'.,web,733519,SSK4507
9/7/2020,Assignment: Lab06 : Method,Assignment,Course module viewed,The user with id '30398' viewed the 'assign' activity with course module id '67791'.,web,774720,SKR4301
9/7/2020,Assignment: Lab06 : Method,File submissions,A file has been uploaded.,The user with id '30398' has uploaded a file to the submission with id '243286' in the assignment activity with course module id '67791'.,web,774720,SKR3504
9/7/2020,Assignment: Lab06 : Method,Assignment,The status of the submission has been viewed.,The user with id '30398' has viewed the submission status page for the assignment with course module id '67791'.,web,774720,SSK4508
9/7/2020,Assignment: Lab06 : Method,File submissions,Submission created.,The user with id '30398' created a file submission and uploaded '1' file/s in the assignment with course module id '67791'.,web,774720,SSE4306
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 30039 viewed attendance sessions for student with id 30039,web,114720,SSK4506
9/7/2020,Assignment: Individual Assignment 2,Assignment,Course module viewed,The user with id '13916' viewed the 'assign' activity with course module id '72314'.,web,744219,SKR3201
9/7/2020,Assignment: Lab 01: Submission,Assignment,The status of the submission has been viewed.,The user with id '17907' has viewed the submission status page for the assignment with course module id '21415'.,web,568819,SSK3207
9/7/2020,Attendance: Attendance SKR3200,Attendance,Attendance taken by student,Student with id 30039 took attendance with instanceid 606,web,114720,SKR3202
9/7/2020,Assignment: Lab 01: Submission,Assignment,Course module viewed,The user with id '17907' viewed the 'assign' activity with course module id '21415'.,web,568819,SSK4610
9/7/2020,Attendance: Attendance SKR3200,Attendance,Session report viewed,User with id 30039 viewed attendance sessions for student with id 30039,web,114720,SSK3207
9/7/2020,Assignment: Group Project,Assignment,The status of the submission has been viewed.,The user with id '13916' has viewed the submission status page for the assignment with course module id '67641'.,web,744219,SSK3118
9/7/2020,Assignment: Individual Assignment 2,Assignment,The status of the submission has been viewed.,The user with id '13916' has viewed the submission status page for the assignment with course module id '72314'.,web,744219,SSK4505
9/7/2020,Quiz: Short Quiz on Today's Class,Quiz,Quiz edit page viewed,The user with id '1322' viewed the edit page for the quiz with course module id '95292'.,web,4925A0,SSK3102
9/7/2020,Quiz: Short Quiz on Today's Class,Quiz,Quiz edit page viewed,The user with id '1322' viewed the edit page for the quiz with course module id '95292'.,web,4925A0,SSK4508
9/7/2020,Assignment: Group Project,Assignment,Course module viewed,The user with id '13916' viewed the 'assign' activity with course module id '67641'.,web,744219,SIM4207
