time,Event_context,Component,Event_name,Description,Origin,matrik
9/7/2020 14:32:00,Course: SSK3100-1: PENGATURCARAAN KOMPUTER I (COMPUTER PROGRAMMING I),System,Course viewed,The user with id '30348' viewed the course with id '3078'.,web,535120
9/7/2020 14:32:00,Folder: Tableau Exercises,Folder,Course module viewed,The user with id '4070' viewed the 'folder' activity with course module id '95016'.,web,754219
9/7/2020 14:32:00,Assignment: Lab Asg 6 - File Management (All questions),Assignment,Course module viewed,The user with id '13691' viewed the 'assign' activity with course module id '69141'.,web,304220
9/7/2020 14:32:00,Attendance: Attendance,Attendance,Session report viewed,User with id 30348 viewed attendance sessions for student with id 30348,web,535120
9/7/2020 14:32:00,Folder: Tableau Exercises,Folder,Zip archive of folder downloaded,The user with id '4070' downloaded a zip archive containing all the files from the folder activity with course module id '95016'.,web,754219
9/7/2020 14:32:00,Attendance: Lab Attendance - Week 13,Attendance,Session report viewed,User with id 4162 viewed attendance sessions for student with id 4162,web,914019
9/7/2020 14:32:00,Assignment: Lab Asg 6 - File Management (All questions),Assignment,Course module viewed,The user with id '13691' viewed the 'assign' activity with course module id '69141'.,web,304220
9/7/2020 14:32:00,Course: SKR3306-1: PENGATURCARAAN C++ (C++ PROGRAMMING),System,User graded,The user with id '4162' updated the grade with id '748695' for the user with id '4162' for the grade item with id '27184'.,web,914019
9/7/2020 14:32:00,Course: SSK3101-6: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '13691' viewed the course with id '3088'.,web,304220
9/7/2020 14:32:00,Course: SKR3306-1: PENGATURCARAAN C++ (C++ PROGRAMMING),System,Course viewed,The user with id '4162' viewed the course with id '3022'.,web,914019
9/7/2020 14:32:00,Assignment: Lab Asg 6 - File Management (All questions),Assignment,The status of the submission has been viewed.,The user with id '13691' has viewed the submission status page for the assignment with course module id '69141'.,web,304220
9/7/2020 14:33:00,Course: SSK3101-8: PENGATURCARAAN KOMPUTER II (COMPUTER PROGRAMMING II),System,Course viewed,The user with id '12673' viewed the course with id '3091'.,web,013820
